Country,Product,Date,Sales,Profit,CPU
Japan,Nintendo Entertainment System (NES),1983,61900000,2000000000,Ricoh 2A03
Japan,Super Nintendo (SNES),1990,49100000,1800000000,Ricoh 5A22
Japan,Nintendo 64,1996,32900000,1100000000,NEC VR4300
Japan,Nintendo Switch,2017,141300000,3500000000,Nvidia Tegra X1
USA,Xbox,2001,24000000,620000000,Intel Pentium III
USA,Xbox 360,2005,85000000,1900000000,IBM Xenon
USA,Xbox One,2013,58000000,750000000,AMD Jaguar
USA,Xbox Series X|S,2020,30000000,1200000000,AMD Zen 2
Japan,PlayStation (PS1),1994,102500000,3000000000,MIPS R3000A
Japan,PlayStation 2,2000,158000000,4500000000,Emotion Engine
Japan,PlayStation 3,2006,87400000,2700000000,Cell Broadband Engine
Japan,PlayStation 4,2013,117200000,3200000000,AMD Jaguar
Japan,PlayStation 5,2020,59000000,1800000000,AMD Zen 2
USA,Atari 2600,1977,30000000,900000000,MOS 6507
UK,Amstrad GX4000,1990,15000,10000000,Zilog Z80
USA,Ouya,2013,200000,43000000,Nvidia Tegra 3
China,Subor Z+,2018,120000,5000000,Intel Core i5
Finland,Nokia N-Gage,2003,3000000,30000000,ARM9